[01:28:53] [main/INFO] Extra: []
[01:28:53] [main/INFO] Running with arguments: [--userProperties, {}, --assetsDir, C:/Users/SuperSkidder/.gradle/caches/minecraft/assets, --assetIndex, 1.8, --accessToken{REDACTED}, --version, 1.8.9, --tweakClass, net.minecraftforge.fml.common.launcher.FMLTweaker, --tweakClass, net.minecraftforge.gradle.tweakers.CoremodTweaker]
[01:28:53] [main/INFO] Loading tweak class name net.minecraftforge.fml.common.launcher.FMLTweaker
[01:28:53] [main/INFO] Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLTweaker
[01:28:53] [main/INFO] Loading tweak class name net.minecraftforge.gradle.tweakers.CoremodTweaker
[01:28:53] [main/INFO] Calling tweak class net.minecraftforge.fml.common.launcher.FMLTweaker
[01:28:53] [main/INFO] Forge Mod Loader version 11.15.1.2318 for Minecraft 1.8.9 loading
[01:28:53] [main/INFO] Java is OpenJDK 64-Bit Server VM, version 1.8.0_332, running on Windows 10:amd64:10.0, installed at C:\Users\SuperSkidder\.jdks\corretto-1.8.0_332\jre
[01:28:53] [main/INFO] Managed to load a deobfuscated Minecraft name- we are in a deobfuscated environment. Skipping runtime deobfuscation
[01:28:53] [main/INFO] Found a command line coremod : cn.hanabi.loader.injection.MixinLoaderPlugin
[01:28:53] [main/WARN] The coremod cn.hanabi.loader.injection.MixinLoaderPlugin does not have a MCVersion annotation, it may cause issues with this version of Minecraft
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: org.spongepowered.asm.mixin.throwables.MixinException: Environment conflict, mismatched versions or you didn't call MixinBootstrap.init()
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at org.spongepowered.asm.mixin.MixinEnvironment.<init>(MixinEnvironment.java:921)
[01:31:10] [main/INFO] [net.minecraftforge.fml.relauncher.FMLLaunchHandler:setupHome:99]: 	at GradleStart.main(GradleStart.java:26)
[01:31:10] [main/ERROR] An error occurred trying to configure the minecraft home at D:\java\Projects\Hanabi\. for Forge Mod Loader
org.spongepowered.asm.mixin.throwables.MixinException: Environment conflict, mismatched versions or you didn't call MixinBootstrap.init()
	at org.spongepowered.asm.mixin.MixinEnvironment.<init>(MixinEnvironment.java:921) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at org.spongepowered.asm.mixin.MixinEnvironment$Phase.getEnvironment(MixinEnvironment.java:149) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at org.spongepowered.asm.mixin.MixinEnvironment.getEnvironment(MixinEnvironment.java:1355) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at org.spongepowered.asm.mixin.MixinEnvironment.init(MixinEnvironment.java:1338) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at org.spongepowered.asm.launch.MixinBootstrap.start(MixinBootstrap.java:152) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at org.spongepowered.asm.launch.MixinBootstrap.init(MixinBootstrap.java:116) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at cn.hanabi.loader.injection.MixinLoaderPlugin.<init>(MixinLoaderPlugin.kt:17) ~[main/:?]
	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) ~[?:1.8.0_332]
	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62) ~[?:1.8.0_332]
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45) ~[?:1.8.0_332]
	at java.lang.reflect.Constructor.newInstance(Constructor.java:423) ~[?:1.8.0_332]
	at java.lang.Class.newInstance(Class.java:442) ~[?:1.8.0_332]
	at net.minecraftforge.fml.relauncher.CoreModManager.loadCoreMod(CoreModManager.java:577) ~[forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraftforge.fml.relauncher.CoreModManager.handleLaunch(CoreModManager.java:244) ~[forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraftforge.fml.relauncher.FMLLaunchHandler.setupHome(FMLLaunchHandler.java:95) [forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraftforge.fml.relauncher.FMLLaunchHandler.setupClient(FMLLaunchHandler.java:72) [forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraftforge.fml.relauncher.FMLLaunchHandler.configureForClientLaunch(FMLLaunchHandler.java:34) [forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraftforge.fml.common.launcher.FMLTweaker.injectIntoClassLoader(FMLTweaker.java:119) [forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraft.launchwrapper.Launch.launch(Launch.java:115) [launchwrapper-1.12.jar:?]
	at net.minecraft.launchwrapper.Launch.main(Launch.java:28) [launchwrapper-1.12.jar:?]
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:1.8.0_332]
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:1.8.0_332]
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:1.8.0_332]
	at java.lang.reflect.Method.invoke(Method.java:498) ~[?:1.8.0_332]
	at net.minecraftforge.gradle.GradleStartCommon.launch(GradleStartCommon.java:97) [start/:?]
	at GradleStart.main(GradleStart.java:26) [start/:?]
[01:31:10] [main/ERROR] Unable to launch
org.spongepowered.asm.mixin.throwables.MixinException: Environment conflict, mismatched versions or you didn't call MixinBootstrap.init()
	at org.spongepowered.asm.mixin.MixinEnvironment.<init>(MixinEnvironment.java:921) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at org.spongepowered.asm.mixin.MixinEnvironment$Phase.getEnvironment(MixinEnvironment.java:149) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at org.spongepowered.asm.mixin.MixinEnvironment.getEnvironment(MixinEnvironment.java:1355) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at org.spongepowered.asm.mixin.MixinEnvironment.init(MixinEnvironment.java:1338) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at org.spongepowered.asm.launch.MixinBootstrap.start(MixinBootstrap.java:152) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at org.spongepowered.asm.launch.MixinBootstrap.init(MixinBootstrap.java:116) ~[mixin-0.7.10-SNAPSHOT.jar:0.7.10-SNAPSHOT+unknown-b0.git-unknown]
	at cn.hanabi.loader.injection.MixinLoaderPlugin.<init>(MixinLoaderPlugin.kt:17) ~[main/:?]
	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) ~[?:1.8.0_332]
	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62) ~[?:1.8.0_332]
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45) ~[?:1.8.0_332]
	at java.lang.reflect.Constructor.newInstance(Constructor.java:423) ~[?:1.8.0_332]
	at java.lang.Class.newInstance(Class.java:442) ~[?:1.8.0_332]
	at net.minecraftforge.fml.relauncher.CoreModManager.loadCoreMod(CoreModManager.java:577) ~[forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraftforge.fml.relauncher.CoreModManager.handleLaunch(CoreModManager.java:244) ~[forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraftforge.fml.relauncher.FMLLaunchHandler.setupHome(FMLLaunchHandler.java:95) ~[forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraftforge.fml.relauncher.FMLLaunchHandler.setupClient(FMLLaunchHandler.java:72) ~[forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraftforge.fml.relauncher.FMLLaunchHandler.configureForClientLaunch(FMLLaunchHandler.java:34) ~[forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraftforge.fml.common.launcher.FMLTweaker.injectIntoClassLoader(FMLTweaker.java:119) ~[forgeBin-1.8.9-11.15.1.2318-1.8.9.jar:?]
	at net.minecraft.launchwrapper.Launch.launch(Launch.java:115) [launchwrapper-1.12.jar:?]
	at net.minecraft.launchwrapper.Launch.main(Launch.java:28) [launchwrapper-1.12.jar:?]
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:1.8.0_332]
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:1.8.0_332]
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:1.8.0_332]
	at java.lang.reflect.Method.invoke(Method.java:498) ~[?:1.8.0_332]
	at net.minecraftforge.gradle.GradleStartCommon.launch(GradleStartCommon.java:97) [start/:?]
	at GradleStart.main(GradleStart.java:26) [start/:?]
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1052]: java.lang.reflect.InvocationTargetException
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1052]: 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1052]: 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1052]: 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1052]: 	at java.lang.reflect.Method.invoke(Method.java:498)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1052]: 	at net.minecraftforge.gradle.GradleStartCommon.launch(GradleStartCommon.java:97)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1052]: 	at GradleStart.main(GradleStart.java:26)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1061]: Caused by: net.minecraftforge.fml.relauncher.FMLSecurityManager$ExitTrappedException
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1061]: 	at net.minecraftforge.fml.relauncher.FMLSecurityManager.checkPermission(FMLSecurityManager.java:30)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1061]: 	at java.lang.SecurityManager.checkExit(SecurityManager.java:761)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1061]: 	at java.lang.Runtime.exit(Runtime.java:107)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1061]: 	at java.lang.System.exit(System.java:973)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1061]: 	at net.minecraft.launchwrapper.Launch.launch(Launch.java:138)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1061]: 	at net.minecraft.launchwrapper.Launch.main(Launch.java:28)
[01:31:10] [main/INFO] [java.lang.ThreadGroup:uncaughtException:1061]: 	... 6 more
